mnemonic,type,options
nop,,
pause,,
icebp,,
ud,,
mov,modrm_r2,
mov,modrm_sr,
add,modrm_r2,
or,modrm_r2,
adc,modrm_r2,
sbb,modrm_r2,
and,modrm_r2,
sub,modrm_r2,
xor,modrm_r2,
cmp,modrm_r2,
push,modrm_r1,wd
push,iv,
push,sr,
pop,modrm_r1,wd
pop,sr,
daa,,
das,,
aaa,,
aas,,
inc,modrm_r1,
dec,modrm_r1,
ins,string,e
outs,string,
jcc,jcc,
pusha,,
pushad,,
popa,,
popad,,
bound,modrm_r2,lmwd
arpl,modrm_r2,srmw
test,modrm_r2,s
lea,modrm_r2,lmwd
xchg,modrm_r2,srm
cwd,,
cdq,,
wait,,
pushf,,
pushfd,,
popf,,
popfd,,
sahf,,
lahf,,
movs,string,
cmps,string,z
stos,string,e
lods,string,
scas,string,ez
rol,shift,
ror,shift,
rcl,shift,
rcr,shift,
shl,shift,
shr,shift,
sar,shift,
ret,ret,
les,modrm_r2,lmwd
lds,modrm_r2,lmwd
lfs,modrm_r2,lmwd
lgs,modrm_r2,lmwd
lss,modrm_r2,lmwd
enter,enter,
leave,,
retf,ret,
int,ib,
into,,
iret,,
iretd,,
jmp,jump,
jmpf,jumpf,
call,jump,
callf,jumpf,
aam,ib,
aad,ib,
salc,,
xlat,modrm_r1,mb
esc,esc,
loopnz,loop,
loopz,loop,
loop,loop,
jcxz,loop,
in,in,
out,out,
hlt,,
cmc,,
not,modrm_r1,
neg,modrm_r1,
mul,modrm_r1,
imul,modrm_r1,
imul,modrm_r2,lrmwd
imul,imul3,
div,modrm_r1,
idiv,modrm_r1,
clc,,
stc,,
cli,,
sti,,
cld,,
std,,
sldt,modrm_r1,rmw
str,modrm_r1,rmw
lldt,modrm_r1,rmw
ltr,modrm_r1,rmw
verr,modrm_r1,rmw
verw,modrm_r1,rmw
sgdt,modrm_r1,mp,
sidt,modrm_r1,mp,
lgdt,modrm_r1,mp,
lidt,modrm_r1,mp,
smsw,modrm_r1,rmw
lmsw,modrm_r1,rmw
invlpg,modrm_r1,
xgetbv,,
xsetbv,,
swapgs,,
rdtscp,,
syscall,,
clts,,
sysret,,
invd,,
wbinvd,,
mov,cr,,
wrmsr,,
rdtsc,,
rdmsr,,
sysenter,,
sysexit,,
cmov,cmov,
setcc,setcc,
cpuid,,
bt,bt,
bts,bt,
btr,bt,
btc,bt,
shld,shld,
shrd,shld,
rsm,,
cmpxchg,modrm_r2,srm
movsx,movsx,
movzx,movsx,
popcnt,modrm_r2,lrmwd
bsf,modrm_r2,lrmwd
bsr,modrm_r2,lrmwd
xadd,modrm_r2,srm
bswap,modrm_r1,rd
